                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87193,                0.83747,                  1.348,                0.86395,                0.81726,                0.90151,                0.68718,                0.93377,                0.70741,                 1.6111,             0.00057778,             0.00057778,             0.00057778
                     36,                0.85507,                0.82701,                 1.3362,                0.88393,                0.77531,                0.90111,                0.68865,                 0.9137,                0.73484,                 1.5901,             0.00054478,             0.00054478,             0.00054478
                     37,                0.84715,                0.85541,                 1.3355,                0.88266,                0.76725,                0.89133,                0.67775,                0.96251,                 0.7403,                 1.6169,             0.00051177,             0.00051177,             0.00051177
                     38,                0.85149,                0.81252,                 1.3363,                0.83484,                0.74044,                0.87583,                0.68786,                0.90367,                0.75847,                 1.5687,             0.00047876,             0.00047876,             0.00047876
                     39,                0.84964,                0.80313,                 1.3189,                0.87972,                0.75263,                0.88512,                0.67286,                0.92844,                0.73629,                  1.608,             0.00044576,             0.00044576,             0.00044576
                     40,                0.82144,                0.78179,                 1.3101,                0.87038,                    0.8,                0.88553,                0.68265,                0.91824,                0.72417,                 1.6052,             0.00041275,             0.00041275,             0.00041275
                     41,                0.72958,                0.63846,                 1.4093,                0.88709,                0.77193,                0.89659,                0.68026,                0.96329,                0.71731,                 1.6442,             0.00037974,             0.00037974,             0.00037974
                     42,                0.71774,                 0.6081,                   1.37,                 0.8563,                0.73875,                0.87646,                0.65457,                0.97471,                0.76832,                 1.6916,             0.00034674,             0.00034674,             0.00034674
                     43,                  0.696,                0.58778,                 1.3461,                0.86794,                0.80787,                0.87796,                0.68255,                0.89391,                0.72004,                 1.5913,             0.00031373,             0.00031373,             0.00031373
                     44,                0.67789,                0.54981,                 1.3304,                0.89339,                0.78802,                0.88472,                 0.6932,                0.87347,                0.70483,                 1.5485,             0.00028072,             0.00028072,             0.00028072
                     45,                0.65945,                0.54289,                 1.3193,                0.88506,                0.79483,                 0.8936,                 0.6922,                0.89178,                0.69741,                 1.5723,             0.00024772,             0.00024772,             0.00024772
                     46,                0.64437,                0.51508,                 1.3125,                0.86263,                0.77765,                0.88373,                0.69817,                0.87432,                0.70893,                 1.5475,             0.00021471,             0.00021471,             0.00021471
                     47,                0.62888,                0.49576,                 1.2794,                0.87692,                 0.7386,                0.87296,                0.68177,                0.89195,                0.69245,                 1.5568,              0.0001817,              0.0001817,              0.0001817
                     48,                 0.6176,                0.46473,                  1.279,                0.78425,                0.80351,                 0.8791,                0.69265,                 0.8836,                0.73478,                 1.5382,              0.0001487,              0.0001487,              0.0001487
                     49,                0.60658,                0.46979,                 1.2597,                 0.8636,                0.79947,                0.88662,                0.69984,                0.86426,                0.69173,                 1.5108,             0.00011569,             0.00011569,             0.00011569
                     50,                0.58186,                0.43825,                 1.2339,                0.89377,                0.72807,                0.89429,                0.70852,                0.87641,                 0.6775,                 1.5391,             8.2683e-05,             8.2683e-05,             8.2683e-05
