                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79903,                0.68255,                 1.2891,                0.88022,                 0.7924,                0.88412,                0.68479,                0.90051,                0.71043,                  1.558,             0.00057778,             0.00057778,             0.00057778
                     36,                0.75747,                0.67496,                 1.2589,                0.90994,                0.75216,                0.88939,                  0.696,                0.91267,                0.73115,                 1.5589,             0.00054478,             0.00054478,             0.00054478
                     37,                0.76984,                0.68962,                 1.2676,                  0.837,                0.80853,                0.89341,                0.69862,                0.88534,                0.72376,                 1.5369,             0.00051177,             0.00051177,             0.00051177
                     38,                0.76608,                0.65346,                 1.2692,                0.89863,                0.76316,                0.88691,                0.69639,                0.87866,                0.73647,                 1.5566,             0.00047876,             0.00047876,             0.00047876
                     39,                0.76296,                0.65577,                 1.2571,                0.85221,                    0.8,                0.89291,                0.70399,                0.91754,                0.71521,                 1.5681,             0.00044576,             0.00044576,             0.00044576
                     40,                0.74854,                0.63453,                 1.2553,                0.86882,                0.78246,                0.89258,                 0.7008,                0.86791,                0.71984,                 1.5222,             0.00041275,             0.00041275,             0.00041275
                     41,                0.63243,                0.48449,                 1.3019,                0.87355,                0.79007,                0.88536,                0.69634,                0.87505,                0.75224,                 1.5397,             0.00037974,             0.00037974,             0.00037974
                     42,                0.61595,                0.45781,                 1.2631,                0.84115,                0.79571,                0.88949,                0.70686,                0.87447,                0.74766,                 1.5559,             0.00034674,             0.00034674,             0.00034674
                     43,                0.58586,                0.43421,                 1.2365,                0.86084,                0.80351,                0.88607,                0.69839,                0.87249,                0.71113,                 1.5419,             0.00031373,             0.00031373,             0.00031373
                     44,                0.58103,                0.40259,                 1.2291,                0.92451,                0.74255,                0.88797,                0.70741,                 0.8534,                0.69242,                 1.5146,             0.00028072,             0.00028072,             0.00028072
                     45,                 0.5749,                0.39063,                 1.2265,                0.92306,                0.70741,                0.87525,                 0.7061,                0.82345,                0.73305,                  1.497,             0.00024772,             0.00024772,             0.00024772
                     46,                0.55329,                0.37714,                 1.2158,                0.93477,                0.74211,                0.88185,                0.69286,                0.86822,                0.74218,                 1.5533,             0.00021471,             0.00021471,             0.00021471
                     47,                  0.542,                0.36219,                  1.188,                0.88257,                0.78836,                 0.8907,                0.70491,                0.89013,                0.75643,                 1.5921,              0.0001817,              0.0001817,              0.0001817
                     48,                 0.5413,                0.36198,                 1.2035,                0.83173,                0.82736,                0.89538,                0.70865,                0.85644,                0.70672,                 1.5593,              0.0001487,              0.0001487,              0.0001487
                     49,                0.52072,                0.34845,                 1.1693,                0.81283,                0.84035,                0.89505,                0.70926,                0.85424,                0.74218,                 1.5638,             0.00011569,             0.00011569,             0.00011569
                     50,                0.50307,                0.32892,                 1.1581,                0.81398,                0.85789,                0.89509,                0.71742,                0.86991,                0.72243,                 1.5878,             8.2683e-05,             8.2683e-05,             8.2683e-05
