                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80312,                0.70611,                 1.2895,                 0.8599,                0.75866,                0.88881,                0.68083,                0.92209,                0.70906,                 1.5977,             0.00057778,             0.00057778,             0.00057778
                     36,                0.76779,                0.68802,                 1.2662,                0.83213,                0.79045,                0.89597,                0.68669,                0.95472,                0.71262,                 1.6175,             0.00054478,             0.00054478,             0.00054478
                     37,                 0.7776,                0.70795,                 1.2749,                0.88402,                0.74932,                0.89138,                0.70121,                0.87454,                0.73347,                  1.533,             0.00051177,             0.00051177,             0.00051177
                     38,                0.76696,                0.67026,                 1.2714,                0.89649,                0.74386,                0.89683,                0.68858,                0.94683,                0.72785,                 1.6194,             0.00047876,             0.00047876,             0.00047876
                     39,                 0.7706,                0.67664,                 1.2598,                0.83451,                0.77544,                0.89264,                 0.7048,                 0.8865,                0.71048,                 1.5353,             0.00044576,             0.00044576,             0.00044576
                     40,                0.75434,                0.65081,                 1.2568,                 0.8247,                0.78403,                0.88656,                0.69883,                0.88682,                0.74329,                 1.5317,             0.00041275,             0.00041275,             0.00041275
                     41,                0.64233,                0.50561,                 1.3121,                0.87054,                0.75891,                0.88206,                0.67729,                0.87356,                0.75628,                 1.5382,             0.00037974,             0.00037974,             0.00037974
                     42,                0.62746,                 0.4622,                 1.2788,                0.75256,                0.85642,                 0.9017,                0.69987,                0.88001,                0.71103,                 1.5394,             0.00034674,             0.00034674,             0.00034674
                     43,                0.61104,                 0.4538,                 1.2681,                0.81749,                0.81704,                0.89366,                0.70315,                0.82882,                0.70393,                 1.4805,             0.00031373,             0.00031373,             0.00031373
                     44,                0.59282,                0.42718,                 1.2481,                0.89808,                0.72632,                0.88895,                0.69606,                0.86276,                0.75145,                 1.5359,             0.00028072,             0.00028072,             0.00028072
                     45,                0.56472,                0.40575,                 1.2178,                0.89544,                 0.7559,                0.87917,                0.68452,                0.86969,                 0.7764,                   1.55,             0.00024772,             0.00024772,             0.00024772
                     46,                0.56654,                0.39056,                 1.2305,                0.85446,                0.78596,                0.88514,                0.69243,                0.85245,                0.72269,                 1.5394,             0.00021471,             0.00021471,             0.00021471
                     47,                0.56142,                0.38452,                 1.2092,                0.86893,                0.75252,                0.88212,                0.68611,                0.85887,                0.78331,                 1.5387,              0.0001817,              0.0001817,              0.0001817
                     48,                0.54839,                0.37395,                 1.2133,                0.84237,                0.77118,                0.88692,                 0.6961,                0.84666,                0.74946,                 1.5216,              0.0001487,              0.0001487,              0.0001487
                     49,                0.54344,                 0.3634,                 1.1914,                0.80116,                0.78237,                0.88496,                0.70569,                0.83837,                0.77483,                 1.5144,             0.00011569,             0.00011569,             0.00011569
                     50,                0.52246,                0.34699,                 1.1752,                 0.9183,                0.72948,                0.89358,                 0.7017,                0.84636,                0.75625,                 1.5416,             8.2683e-05,             8.2683e-05,             8.2683e-05
